Datum;BV;;;;;;;;;;
2017-01-01;82.792.351;;;;;;;;;;
2017-01-02;82.792.351;;;;;;;;;;
2017-01-03;82.792.351;;;;;;;;;;
2017-01-04;82.792.351;;;;;;;;;;
2017-01-05;82.792.351;;;;;;;;;;
2017-01-06;82.792.351;;;;;;;;;;
2017-01-07;82.792.351;;;;;;;;;;
2017-01-08;82.792.351;;;;;;;;;;
2017-01-09;82.792.351;;;;;;;;;;
2017-01-10;82.792.351;;;;;;;;;;
2017-01-11;82.792.351;;;;;;;;;;
2017-01-12;82.792.351;;;;;;;;;;
2017-01-13;82.792.351;;;;;;;;;;
2017-01-14;82.792.351;;;;;;;;;;
2017-01-15;82.792.351;;;;;;;;;;
2017-01-16;82.792.351;;;;;;;;;;
2017-01-17;82.792.351;;;;;;;;;;
2017-01-18;82.792.351;;;;;;;;;;
2017-01-19;82.792.351;;;;;;;;;;
2017-01-20;82.792.351;;;;;;;;;;
2017-01-21;82.792.351;;;;;;;;;;
2017-01-22;82.792.351;;;;;;;;;;
2017-01-23;82.792.351;;;;;;;;;;
2017-01-24;82.792.351;;;;;;;;;;
2017-01-25;82.792.351;;;;;;;;;;
2017-01-26;82.792.351;;;;;;;;;;
2017-01-27;82.792.351;;;;;;;;;;
2017-01-28;82.792.351;;;;;;;;;;
2017-01-29;82.792.351;;;;;;;;;;
2017-01-30;82.792.351;;;;;;;;;;
2017-01-31;82.792.351;;;;;;;;;;
2017-02-01;82.792.351;;;;;;;;;;
2017-02-02;82.792.351;;;;;;;;;;
2017-02-03;82.792.351;;;;;;;;;;
2017-02-04;82.792.351;;;;;;;;;;
2017-02-05;82.792.351;;;;;;;;;;
2017-02-06;82.792.351;;;;;;;;;;
2017-02-07;82.792.351;;;;;;;;;;
2017-02-08;82.792.351;;;;;;;;;;
2017-02-09;82.792.351;;;;;;;;;;
2017-02-10;82.792.351;;;;;;;;;;
2017-02-11;82.792.351;;;;;;;;;;
2017-02-12;82.792.351;;;;;;;;;;
2017-02-13;82.792.351;;;;;;;;;;
2017-02-14;82.792.351;;;;;;;;;;
2017-02-15;82.792.351;;;;;;;;;;
2017-02-16;82.792.351;;;;;;;;;;
2017-02-17;82.792.351;;;;;;;;;;
2017-02-18;82.792.351;;;;;;;;;;
2017-02-19;82.792.351;;;;;;;;;;
2017-02-20;82.792.351;;;;;;;;;;
2017-02-21;82.792.351;;;;;;;;;;
2017-02-22;82.792.351;;;;;;;;;;
2017-02-23;82.792.351;;;;;;;;;;
2017-02-24;82.792.351;;;;;;;;;;
2017-02-25;82.792.351;;;;;;;;;;
2017-02-26;82.792.351;;;;;;;;;;
2017-02-27;82.792.351;;;;;;;;;;
2017-02-28;82.792.351;;;;;;;;;;
2017-03-01;82.792.351;;;;;;;;;;
2017-03-02;82.792.351;;;;;;;;;;
2017-03-03;82.792.351;;;;;;;;;;
2017-03-04;82.792.351;;;;;;;;;;
2017-03-05;82.792.351;;;;;;;;;;
2017-03-06;82.792.351;;;;;;;;;;
2017-03-07;82.792.351;;;;;;;;;;
2017-03-08;82.792.351;;;;;;;;;;
2017-03-09;82.792.351;;;;;;;;;;
2017-03-10;82.792.351;;;;;;;;;;
2017-03-11;82.792.351;;;;;;;;;;
2017-03-12;82.792.351;;;;;;;;;;
2017-03-13;82.792.351;;;;;;;;;;
2017-03-14;82.792.351;;;;;;;;;;
2017-03-15;82.792.351;;;;;;;;;;
2017-03-16;82.792.351;;;;;;;;;;
2017-03-17;82.792.351;;;;;;;;;;
2017-03-18;82.792.351;;;;;;;;;;
2017-03-19;82.792.351;;;;;;;;;;
2017-03-20;82.792.351;;;;;;;;;;
2017-03-21;82.792.351;;;;;;;;;;
2017-03-22;82.792.351;;;;;;;;;;
2017-03-23;82.792.351;;;;;;;;;;
2017-03-24;82.792.351;;;;;;;;;;
2017-03-25;82.792.351;;;;;;;;;;
2017-03-26;82.792.351;;;;;;;;;;
2017-03-27;82.792.351;;;;;;;;;;
2017-03-28;82.792.351;;;;;;;;;;
2017-03-29;82.792.351;;;;;;;;;;
2017-03-30;82.792.351;;;;;;;;;;
2017-03-31;82.792.351;;;;;;;;;;
2017-04-01;82.792.351;;;;;;;;;;
2017-04-02;82.792.351;;;;;;;;;;
2017-04-03;82.792.351;;;;;;;;;;
2017-04-04;82.792.351;;;;;;;;;;
2017-04-05;82.792.351;;;;;;;;;;
2017-04-06;82.792.351;;;;;;;;;;
2017-04-07;82.792.351;;;;;;;;;;
2017-04-08;82.792.351;;;;;;;;;;
2017-04-09;82.792.351;;;;;;;;;;
2017-04-10;82.792.351;;;;;;;;;;
2017-04-11;82.792.351;;;;;;;;;;
2017-04-12;82.792.351;;;;;;;;;;
2017-04-13;82.792.351;;;;;;;;;;
2017-04-14;82.792.351;;;;;;;;;;
2017-04-15;82.792.351;;;;;;;;;;
2017-04-16;82.792.351;;;;;;;;;;
2017-04-17;82.792.351;;;;;;;;;;
2017-04-18;82.792.351;;;;;;;;;;
2017-04-19;82.792.351;;;;;;;;;;
2017-04-20;82.792.351;;;;;;;;;;
2017-04-21;82.792.351;;;;;;;;;;
2017-04-22;82.792.351;;;;;;;;;;
2017-04-23;82.792.351;;;;;;;;;;
2017-04-24;82.792.351;;;;;;;;;;
2017-04-25;82.792.351;;;;;;;;;;
2017-04-26;82.792.351;;;;;;;;;;
2017-04-27;82.792.351;;;;;;;;;;
2017-04-28;82.792.351;;;;;;;;;;
2017-04-29;82.792.351;;;;;;;;;;
2017-04-30;82.792.351;;;;;;;;;;
2017-05-01;82.792.351;;;;;;;;;;
2017-05-02;82.792.351;;;;;;;;;;
2017-05-03;82.792.351;;;;;;;;;;
2017-05-04;82.792.351;;;;;;;;;;
2017-05-05;82.792.351;;;;;;;;;;
2017-05-06;82.792.351;;;;;;;;;;
2017-05-07;82.792.351;;;;;;;;;;
2017-05-08;82.792.351;;;;;;;;;;
2017-05-09;82.792.351;;;;;;;;;;
2017-05-10;82.792.351;;;;;;;;;;
2017-05-11;82.792.351;;;;;;;;;;
2017-05-12;82.792.351;;;;;;;;;;
2017-05-13;82.792.351;;;;;;;;;;
2017-05-14;82.792.351;;;;;;;;;;
2017-05-15;82.792.351;;;;;;;;;;
2017-05-16;82.792.351;;;;;;;;;;
2017-05-17;82.792.351;;;;;;;;;;
2017-05-18;82.792.351;;;;;;;;;;
2017-05-19;82.792.351;;;;;;;;;;
2017-05-20;82.792.351;;;;;;;;;;
2017-05-21;82.792.351;;;;;;;;;;
2017-05-22;82.792.351;;;;;;;;;;
2017-05-23;82.792.351;;;;;;;;;;
2017-05-24;82.792.351;;;;;;;;;;
2017-05-25;82.792.351;;;;;;;;;;
2017-05-26;82.792.351;;;;;;;;;;
2017-05-27;82.792.351;;;;;;;;;;
2017-05-28;82.792.351;;;;;;;;;;
2017-05-29;82.792.351;;;;;;;;;;
