Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2017;02.01.2017;115.249,75;26.913,50;51.770,50;254.395,50;35.291,50;4.559,00;155.921,75;318.616,50;144.332,50;54.888,00;25.241,25;35.365,25
02.01.2017;03.01.2017;115.467,25;27.450,50;60.845,00;225.582,25;12.480,00;4.614,50;154.483,25;333.813,00;294.633,25;92.650,00;37.009,00;38.820,75
03.01.2017;04.01.2017;114.169,50;27.570,00;74.271,25;560.809,25;9.350,50;4.398,25;144.938,00;291.813,50;198.174,50;76.436,25;21.261,75;37.970,00
04.01.2017;05.01.2017;112.255,50;27.349,50;69.998,75;620.445,25;12.814,25;4.495,00;142.945,75;289.908,50;176.793,50;78.426,00;19.400,00;38.725,50
05.01.2017;06.01.2017;113.106,00;28.065,25;34.381,25;242.259,50;20.795,50;4.611,75;152.877,75;364.915,50;341.310,00;128.649,00;29.578,50;39.764,25
06.01.2017;07.01.2017;113.319,00;27.792,75;39.175,00;69.146,00;33.343,00;4.560,75;169.650,75;413.285,25;347.636,25;135.533,25;30.541,75;37.775,00
07.01.2017;08.01.2017;114.056,50;26.083,25;57.525,25;196.535,50;8.386,50;4.564,25;193.680,50;407.560,25;261.923,50;93.226,00;30.176,50;30.525,25
08.01.2017;09.01.2017;114.363,00;27.167,75;6.980,25;37.257,50;4.990,25;4.522,25;188.620,25;424.815,75;316.589,75;91.906,25;26.682,25;30.754,25
09.01.2017;10.01.2017;113.711,50;27.883,75;55.889,75;117.976,25;7.071,25;4.548,25;183.517,25;419.054,50;318.015,25;144.593,50;37.771,25;35.198,50
10.01.2017;11.01.2017;113.010,50;28.900,75;46.164,00;238.999,00;13.042,50;4.609,75;177.022,00;398.025,50;293.798,00;155.971,25;39.669,75;33.289,25
11.01.2017;12.01.2017;112.794,00;28.487,75;74.425,00;534.019,50;7.378,00;4.565,50;169.535,00;344.917,00;199.870,50;99.062,75;17.544,25;35.697,75
12.01.2017;13.01.2017;112.471,00;27.999,75;62.968,25;527.834,75;17.864,00;4.555,50;179.486,25;343.923,75;194.970,00;90.630,75;30.291,50;33.659,25
13.01.2017;14.01.2017;113.312,75;28.752,75;46.104,00;461.396,00;14.310,25;4.600,00;201.693,75;358.512,25;239.384,00;88.444,25;23.078,75;34.374,25
14.01.2017;15.01.2017;113.943,75;28.584,25;70.290,25;416.698,50;16.767,25;4.625,25;178.189,75;391.117,75;137.675,00;65.947,00;18.067,25;30.995,50
15.01.2017;16.01.2017;113.664,25;26.712,00;29.126,50;212.679,75;16.106,50;4.675,50;183.704,25;417.587,25;193.433,25;71.172,00;17.640,25;32.490,00
16.01.2017;17.01.2017;113.850,00;27.293,00;4.783,75;63.848,00;17.601,50;4.784,00;187.749,75;404.826,50;404.137,00;157.519,25;45.230,50;38.761,50
17.01.2017;18.01.2017;113.809,25;29.755,50;8.292,00;66.954,75;22.907,75;4.791,00;187.197,50;423.044,25;405.102,00;164.569,75;31.841,50;39.054,75
18.01.2017;19.01.2017;113.593,50;29.134,75;42.065,50;108.439,75;22.709,25;4.773,00;186.930,25;405.825,00;392.434,25;161.394,50;40.304,25;40.427,25
19.01.2017;20.01.2017;114.153,50;29.239,50;21.153,00;110.561,00;38.191,50;4.809,25;186.489,75;383.909,50;405.659,75;161.421,00;40.752,50;41.353,50
20.01.2017;21.01.2017;114.431,75;28.507,25;10.283,00;102.133,50;39.631,75;4.811,50;185.962,00;404.432,75;412.948,75;151.133,75;32.812,00;40.524,25
21.01.2017;22.01.2017;114.812,50;27.695,50;3.425,75;75.572,25;45.478,25;4.808,75;185.249,25;379.849,50;366.796,50;134.370,25;19.718,25;38.653,25
22.01.2017;23.01.2017;114.706,00;24.783,25;6.537,75;45.711,75;47.384,50;4.824,75;185.493,75;395.098,25;328.183,75;107.264,25;22.186,50;34.964,00
23.01.2017;24.01.2017;113.987,25;26.264,25;9.636,75;29.754,50;30.939,25;4.699,75;185.121,25;419.162,75;407.372,50;159.470,25;54.016,75;36.172,50
24.01.2017;25.01.2017;114.141,50;28.951,75;9.687,00;20.556,25;10.297,75;4.539,25;184.543,50;396.525,50;420.780,75;181.724,50;42.915,50;37.589,75
